iter	Passed	Remaining
399	75293	112940
400	75475	112742
401	75654	112540
402	75831	112336
403	76014	112139
404	76194	111940
405	76373	111738
406	76553	111539
407	76735	111342
408	76921	111150
409	77106	110957
410	77289	110763
411	77473	110569
412	77657	110374
413	77841	110182
414	78020	109980
415	78229	109822
416	78406	109618
417	78589	109424
418	78764	109218
419	78950	109027
420	79130	108827
421	79319	108641
422	79503	108448
423	79692	108261
424	79874	108065
425	80054	107867
426	80234	107668
427	80411	107465
428	80592	107269
429	80777	107077
430	80959	106881
431	81148	106695
432	81333	106504
433	81520	106314
434	81699	106115
435	81879	105917
436	82058	105718
437	82241	105525
438	82419	105323
439	82601	105128
440	82784	104935
441	82971	104746
442	83151	104549
443	83336	104358
444	83520	104165
445	83703	103972
446	83890	103784
447	84079	103597
448	84263	103405
449	84456	103224
450	84638	103030
451	84825	102841
452	85022	102665
453	85205	102472
454	85393	102284
455	85577	102092
456	85757	101895
457	85935	101696
458	86125	101511
459	86306	101316
460	86489	101122
461	86678	100937
462	86865	100748
463	87051	100558
464	87232	100364
465	87433	100191
466	87629	100013
467	87809	99817
468	87994	99626
469	88177	99434
470	88366	99247
471	88560	99068
472	88744	98876
473	88930	98686
474	89113	98493
475	89300	98305
476	89484	98113
477	89668	97922
478	89846	97724
479	90028	97530
480	90205	97332
481	90388	97139
482	90569	96944
483	90756	96756
484	90941	96566
485	91124	96374
486	91305	96179
487	91490	95990
488	91670	95794
489	91850	95600
490	92029	95403
491	92208	95207
492	92391	95015
493	92578	94827
494	92761	94635
495	92948	94447
496	93128	94252
497	93312	94061
498	93497	93872
499	93679	93679
500	93858	93484
501	94037	93287
502	94217	93093
503	94397	92899
504	94587	92714
505	94769	92522
506	94950	92329
507	95137	92141
508	95319	91948
509	95502	91757
510	95680	91561
511	95861	91368
512	96042	91175
513	96221	90979
514	96400	90784
515	96579	90590
516	96761	90397
517	96946	90209
518	97134	90022
519	97319	89833
520	97496	89636
521	97684	89450
522	97863	89255
523	98042	89061
524	98221	88866
525	98399	88671
526	98574	88474
527	98762	88287
528	98944	88096
529	99130	87907
530	99311	87715
531	99498	87528
532	99679	87336
533	99861	87145
534	100040	86951
535	100221	86759
536	100399	86564
537	100581	86373
538	100758	86177
539	100949	85994
540	101136	85806
541	101338	85632
542	101519	85441
543	101704	85252
544	101891	85065
545	102079	84879
546	102259	84686
547	102441	84495
548	102617	84299
549	102804	84112
550	102989	83924
551	103174	83735
552	103360	83548
553	103545	83359
554	103728	83169
555	103909	82978
556	104089	82785
557	104272	82595
558	104451	82402
559	104633	82211
560	104820	82025
561	105006	81837
562	105192	81650
563	105381	81464
564	105561	81272
565	105744	81083
566	105928	80894
567	106109	80702
568	106286	80508
569	106468	80318
570	106648	80126
571	106834	79939
572	107016	79748
573	107198	79558
574	107381	79368
575	107567	79181
576	107745	78988
577	107924	78795
578	108101	78602
579	108282	78411
580	108459	78217
581	108641	78027
582	108824	77838
583	109008	77649
584	109194	77462
585	109378	77274
586	109562	77085
587	109741	76893
588	109923	76704
589	110105	76514
590	110285	76322
591	110466	76132
592	110647	75941
593	110832	75754
594	111011	75562
595	111200	75377
596	111382	75188
597	111570	75002
598	111745	74808
599	111926	74617
600	112109	74428
601	112291	74239
602	112470	74047
603	112650	73857
604	112830	73666
605	113017	73480
606	113194	73287
607	113380	73100
608	113561	72910
609	113747	72723
610	113928	72533
611	114106	72341
612	114282	72148
613	114486	71973
614	114665	71782
615	114854	71597
616	115033	71406
617	115213	71215
618	115398	71028
619	115588	70844
620	115766	70652
621	115947	70463
622	116128	70273
623	116305	70081
624	116479	69887
625	116661	69698
626	116841	69508
627	117022	69319
628	117204	69129
629	117391	68944
630	117575	68756
631	117756	68567
632	117938	68378
633	118119	68189
634	118298	67998
635	118475	67806
636	118652	67615
637	118836	67427
638	119016	67237
639	119200	67050
640	119384	66862
641	119568	66675
642	119746	66484
643	119929	66296
644	120106	66104
645	120285	65915
646	120467	65726
647	120649	65538
648	120829	65348
649	121017	65163
650	121202	64976
651	121389	64790
652	121569	64601
653	121748	64411
654	121926	64220
655	122103	64029
656	122276	63837
657	122456	63647
658	122672	63477
659	122857	63290
660	123044	63104
661	123255	62931
662	123441	62744
663	123638	62564
664	123817	62374
665	123998	62185
666	124182	61998
667	124370	61812
668	124547	61622
669	124734	61436
670	124917	61248
671	125103	61062
672	125286	60874
673	125474	60689
674	125653	60499
675	125836	60312
676	126017	60123
677	126201	59936
678	126377	59745
679	126562	59558
680	126740	59369
681	126928	59183
682	127112	58996
683	127301	58811
684	127484	58624
685	127670	58438
686	127845	58246
687	128023	58057
688	128200	57866
689	128380	57678
690	128573	57495
691	128761	57310
692	128941	57121
693	129125	56934
694	129317	56751
695	129503	56564
696	129685	56376
697	129869	56189
698	130049	56001
699	130235	55815
700	130414	55626
701	130599	55439
702	130777	55250
703	130971	55067
704	131159	54882
705	131347	54696
706	131530	54509
707	131709	54320
708	131889	54132
709	132071	53944
710	132250	53756
711	132431	53567
712	132610	53378
713	132796	53192
714	132980	53006
715	133170	52821
716	133354	52634
717	133538	52448
718	133714	52258
719	133889	52068
720	134070	51880
721	134250	51691
722	134426	51502
723	134623	51320
724	134804	51132
725	134991	50947
726	135178	50761
727	135367	50576
728	135554	50391
729	135734	50203
730	135910	50013
731	136093	49826
732	136274	49638
733	136455	49451
734	136633	49262
735	136820	49077
736	137003	48889
737	137192	48705
738	137375	48518
739	137554	48330
740	137733	48141
741	137916	47954
742	138095	47766
743	138279	47580
744	138456	47391
745	138635	47202
746	138819	47016
747	139005	46830
748	139189	46644
749	139375	46458
750	139561	46272
751	139761	46091
752	139940	45903
753	140123	45716
754	140302	45528
755	140484	45341
756	140663	45153
757	140844	44966
758	141028	44779
759	141212	44593
760	141398	44407
761	141580	44220
762	141757	44032
763	141938	43844
764	142122	43658
765	142302	43471
766	142480	43282
767	142665	43096
768	142848	42910
769	143035	42724
770	143218	42538
771	143405	42353
772	143585	42165
773	143761	41976
774	143940	41789
775	144126	41603
776	144306	41416
777	144482	41227
778	144663	41040
779	144853	40856
780	145038	40670
781	145225	40484
782	145410	40298
783	145593	40112
784	145784	39928
785	145963	39740
786	146145	39554
787	146327	39367
788	146506	39179
789	146691	38993
790	146873	38807
791	147056	38620
792	147244	38435
793	147423	38248
794	147605	38061
795	147786	37875
796	147966	37687
797	148147	37501
798	148326	37313
799	148509	37127
800	148688	36940
801	148873	36754
802	149055	36567
803	149241	36382
804	149435	36198
805	149627	36014
806	149820	35830
807	150010	35645
808	150192	35459
809	150372	35272
810	150567	35089
811	150755	34904
812	150942	34718
813	151136	34534
814	151326	34350
815	151514	34164
816	151704	33980
817	151883	33793
818	152074	33608
819	152259	33422
820	152439	33235
821	152622	33049
822	152818	32866
823	153010	32681
824	153198	32496
825	153382	32310
826	153579	32127
827	153766	31941
828	153960	31757
829	154143	31571
830	154330	31386
831	154506	31198
832	154688	31011
833	154871	30825
834	155063	30641
835	155244	30454
836	155429	30268
837	155610	30082
838	155791	29895
839	155974	29709
840	156159	29523
841	156339	29336
842	156525	29151
843	156709	28965
844	156894	28779
845	157078	28593
846	157267	28408
847	157453	28222
848	157666	28041
849	157850	27855
850	158030	27669
851	158209	27482
852	158390	27295
853	158570	27109
854	158753	26923
855	158939	26737
856	159124	26551
857	159311	26366
858	159502	26181
859	159691	25996
860	159874	25810
861	160050	25622
862	160230	25436
863	160407	25249
864	160591	25063
865	160777	24877
866	160961	24691
867	161145	24505
868	161326	24319
869	161508	24133
870	161691	23947
871	161871	23760
872	162060	23575
873	162256	23391
874	162443	23206
875	162624	23019
876	162810	22834
877	162993	22648
878	163178	22462
879	163356	22275
880	163540	22090
881	163721	21903
882	163902	21717
883	164082	21531
884	164261	21344
885	164443	21158
886	164645	20975
887	164826	20788
888	165014	20603
889	165196	20417
890	165380	20231
891	165562	20045
892	165742	19859
893	165921	19673
894	166100	19486
895	166283	19300
896	166465	19114
897	166640	18927
898	166836	18743
899	167021	18557
900	167207	18372
901	167388	18186
902	167576	18001
903	167751	17814
904	167926	17627
905	168108	17441
906	168290	17255
907	168471	17069
908	168652	16883
909	168839	16698
910	169024	16512
911	169212	16327
912	169400	16142
913	169586	15956
914	169765	15770
915	169947	15584
916	170126	15398
917	170307	15212
918	170483	15026
919	170669	14840
920	170853	14655
921	171038	14469
922	171220	14283
923	171404	14098
924	171587	13912
925	171769	13726
926	171946	13540
927	172128	13354
928	172305	13168
929	172483	12982
930	172666	12796
931	172857	12611
932	173039	12426
933	173225	12240
934	173411	12055
935	173598	11870
936	173775	11683
937	173956	11498
938	174138	11312
939	174319	11126
940	174499	10940
941	174687	10755
942	174869	10570
943	175055	10384
944	175237	10199
945	175426	10013
946	175610	9828
947	175791	9642
948	175970	9456
949	176155	9271
950	176335	9085
951	176518	8900
952	176700	8714
953	176911	8530
954	177099	8344
955	177287	8159
956	177469	7974
957	177653	7788
958	177835	7602
959	178017	7417
960	178195	7231
961	178375	7046
962	178554	6860
963	178738	6674
964	178921	6489
965	179109	6304
966	179294	6118
967	179480	5933
968	179659	5747
969	179840	5562
970	180018	5376
971	180202	5191
972	180382	5005
973	180566	4820
974	180749	4634
975	180934	4449
976	181116	4263
977	181300	4078
978	181486	3892
979	181678	3707
980	181858	3522
981	182038	3336
982	182218	3151
983	182401	2965
984	182582	2780
985	182764	2595
986	182945	2409
987	183131	2224
988	183314	2038
989	183498	1853
990	183677	1668
991	183860	1482
992	184034	1297
993	184216	1111
994	184395	926
995	184576	741
996	184763	555
997	184952	370
998	185137	185
999	185325	0
