iter	Logloss
293	0.4102794321
294	0.4098236695
295	0.4095176599
296	0.4091781866
297	0.4088039989
298	0.4083254733
299	0.4077766293
300	0.4072419603
301	0.4068549318
302	0.4064312711
303	0.406143661
304	0.4057631362
305	0.4052612082
306	0.4047697029
307	0.404233394
308	0.4036571732
309	0.403301246
310	0.4026819448
311	0.4021251797
312	0.4018093033
313	0.401237863
314	0.4008108115
315	0.4005046073
316	0.4001293078
317	0.3996729616
318	0.3991772038
319	0.3987816983
320	0.3982578965
321	0.3978124177
322	0.3972166857
323	0.3969965033
324	0.3965850997
325	0.3960589633
326	0.3956187931
327	0.3952741779
328	0.394700264
329	0.3943162929
330	0.3939450512
331	0.393413634
332	0.3929965327
333	0.3925147274
334	0.3920206372
335	0.3916102897
336	0.3911811537
337	0.3907466534
338	0.3904186033
339	0.3900306021
340	0.3896105824
341	0.3891405338
342	0.3887203474
343	0.3883008279
344	0.3879832005
345	0.3875475885
346	0.3871157565
347	0.3867605519
348	0.386354707
349	0.3858428844
350	0.3854287292
351	0.3850233846
352	0.3845628137
353	0.3841801767
354	0.3837891737
355	0.3835085954
356	0.3831406612
357	0.3828027722
358	0.3824271947
359	0.3820052017
360	0.3815922694
361	0.3813047982
362	0.3808027313
363	0.3804741531
364	0.3800915716
365	0.3796189939
366	0.3793328846
367	0.3790025833
368	0.3786280342
369	0.37818867
370	0.3778694306
371	0.3775372392
372	0.3772805914
373	0.3769309456
374	0.3765016983
375	0.3759926829
376	0.375572413
377	0.3751865519
378	0.3748415198
379	0.3745133586
380	0.3741779432
381	0.3737881909
382	0.3734121965
383	0.3728740254
384	0.37248066
385	0.3720693119
386	0.3715616028
387	0.3712370826
388	0.3708411045
389	0.370577675
390	0.3701403953
391	0.3697269627
392	0.3694575298
393	0.368969054
394	0.3686332772
395	0.368301475
396	0.3678467686
397	0.3674723863
398	0.3670758524
399	0.3668329625
400	0.3663442087
401	0.3659659075
402	0.3653757342
403	0.3649880665
404	0.3644534252
405	0.3641409952
406	0.3636944324
407	0.3633606013
408	0.3630197105
409	0.362615422
410	0.3620889521
411	0.3618314427
412	0.3615016138
413	0.3611442413
414	0.3608355635
415	0.3604904203
416	0.3602271019
417	0.3598397121
418	0.3594438174
419	0.3589751586
420	0.3587053365
421	0.3584178376
422	0.358142957
423	0.3577579853
424	0.3572996935
425	0.3570340405
426	0.3567333117
427	0.3563976184
428	0.3560647322
429	0.3557181159
430	0.3553526276
431	0.3550052608
432	0.354712898
433	0.3544441876
434	0.3541358156
435	0.3537394762
436	0.3533736821
437	0.3530197283
438	0.3525302241
439	0.3521680432
440	0.3517898254
441	0.3513994061
442	0.3510582095
443	0.3507345231
444	0.3503757609
445	0.3499467916
446	0.3495964509
447	0.3492379388
448	0.3489278713
449	0.3486223342
450	0.3482210198
451	0.3480001147
452	0.3476115576
453	0.3473469607
454	0.347115633
455	0.3468057323
456	0.3465724035
457	0.3462312625
458	0.3458382584
459	0.345515239
460	0.3451748763
461	0.3447873753
462	0.344405711
463	0.3441702421
464	0.3437957208
465	0.3435198674
466	0.3431181083
467	0.3428083465
468	0.3424546428
469	0.3421685891
470	0.3417982091
471	0.3414388076
472	0.3410966383
473	0.3406457119
474	0.340334755
475	0.3398091467
476	0.3394568883
477	0.3391051023
478	0.3386755771
479	0.3383519463
480	0.3380293716
481	0.3375642148
482	0.3372620407
483	0.3369995562
484	0.3367852383
485	0.3364906519
486	0.3360382525
487	0.335732771
488	0.3354072779
489	0.3350541023
490	0.3348370328
491	0.3343855227
492	0.3340277611
493	0.3336835906
494	0.3333398371
495	0.3329210403
496	0.3325916283
497	0.3321791685
498	0.3318187109
499	0.3313118634
500	0.3309984329
501	0.330681945
502	0.3302745715
503	0.3298633902
504	0.3295583256
505	0.3291903636
506	0.3287804887
507	0.3284270073
508	0.328114077
509	0.3278249105
510	0.3274898564
511	0.3272058039
512	0.3268051286
513	0.3265186303
514	0.3261540314
515	0.3257984933
516	0.325508882
517	0.325178803
518	0.3247963049
519	0.324375229
520	0.3240630492
521	0.3237318584
522	0.3234114795
523	0.3231011062
524	0.3228109391
525	0.3223939211
526	0.3219965811
527	0.3216681975
528	0.3210842501
529	0.3206583937
530	0.3203839578
531	0.3200525447
532	0.319610012
533	0.3193528361
534	0.3189813444
535	0.3185787236
536	0.3182734088
537	0.3179915798
538	0.3175238938
539	0.3172575181
540	0.3169357216
541	0.316580656
542	0.3161253938
543	0.3156567072
544	0.3152187882
545	0.3147862057
546	0.3142931995
547	0.313804279
548	0.3135506607
549	0.3129294696
550	0.3126813823
551	0.3122881002
552	0.3119245018
553	0.3116341124
554	0.311151501
555	0.3107842895
556	0.310379612
557	0.310004785
558	0.309660281
559	0.3092210558
560	0.3086974208
561	0.3083364351
562	0.3077604089
563	0.307405649
564	0.3071021964
565	0.3067887937
566	0.3063796691
567	0.3060521749
568	0.3056628674
569	0.3054067476
570	0.3050618823
571	0.3046053416
572	0.3042471074
573	0.3038502122
574	0.3034898101
575	0.3030543093
576	0.3026697544
577	0.3022754162
578	0.3019094276
579	0.3013849866
580	0.3009692472
581	0.3006616255
582	0.3002421061
583	0.2998986861
584	0.2995214132
585	0.2990461673
586	0.29878271
587	0.2981798071
588	0.2977571192
589	0.2972596382
590	0.2968261663
591	0.2963561456
592	0.296065367
593	0.2956597723
594	0.2952647392
595	0.2948543361
596	0.294388679
597	0.2937893616
598	0.2933864906
599	0.2929021839
600	0.2924567329
601	0.2920654797
602	0.2916861779
603	0.2912419498
604	0.2908321026
605	0.2903883748
606	0.2900954839
607	0.2895963353
608	0.2892551943
609	0.2888795057
610	0.2884238266
611	0.2881351047
612	0.2877670594
613	0.2871532892
614	0.2868761851
615	0.286549497
616	0.2861598559
617	0.2857671019
618	0.2852580031
619	0.2847305326
620	0.2843507861
621	0.2839912456
622	0.2836114157
623	0.2831563203
624	0.2828368585
625	0.2824862676
626	0.2820729184
627	0.2817952585
628	0.2814724893
629	0.2811018591
630	0.2807416238
631	0.2804074036
632	0.2800568127
633	0.2797166168
634	0.2791791683
635	0.2788756324
636	0.2786165387
637	0.2781780917
638	0.2777498728
639	0.2773135937
640	0.2768859585
641	0.2765616328
642	0.2761294394
643	0.2757394926
644	0.2754007419
645	0.2750810022
646	0.274537995
647	0.2739868442
648	0.2736787501
649	0.2733297713
650	0.2728371264
651	0.272520583
652	0.2721523709
653	0.2717988339
654	0.2714591382
655	0.2711458467
656	0.2708155453
657	0.270400195
658	0.2700279806
659	0.26966441
660	0.2690560874
661	0.2687596389
662	0.2682980397
663	0.2679586219
664	0.2675447169
665	0.2672230316
666	0.2667882534
667	0.2664829664
668	0.266088378
669	0.2655963724
670	0.2652206004
671	0.2648932452
672	0.2645578575
673	0.2641568488
674	0.2637731834
675	0.2634444106
676	0.2631886244
677	0.2626632385
678	0.2622328239
679	0.2617979623
680	0.261430584
681	0.2611829414
682	0.2608085313
683	0.2604467951
684	0.2600771378
685	0.2597776875
686	0.2593970794
687	0.2590362326
688	0.2585967295
689	0.2581978331
690	0.2578444629
691	0.2574013465
692	0.2570648471
693	0.2567928015
694	0.2562346467
695	0.2558836112
696	0.2554373263
697	0.2551691441
698	0.2547446218
699	0.2543119837
700	0.2539294856
701	0.2535420958
702	0.2532358917
703	0.252846862
704	0.2523535779
705	0.2520112418
706	0.2517294684
707	0.2513556142
708	0.2508950989
709	0.2504925059
710	0.2501045602
711	0.2498385181
712	0.2494773656
713	0.249111377
714	0.2487844109
715	0.2484847383
716	0.2481778949
717	0.2478462317
718	0.2474584527
719	0.2470642535
720	0.2467096047
721	0.2464519007
722	0.2461493376
723	0.2458464409
724	0.2455522992
725	0.2452173563
726	0.2448577881
727	0.2444565848
728	0.2440646368
729	0.2436846401
730	0.2434073137
731	0.2429895175
732	0.2427007957
733	0.2423970652
734	0.2419451938
735	0.2414534105
736	0.2410551811
737	0.240546805
738	0.2401852634
739	0.2398431497
740	0.2394712688
741	0.2391449697
742	0.238749075
743	0.2384423984
744	0.2380892227
745	0.2377539463
746	0.237378619
747	0.236980195
748	0.2366085643
749	0.2363325164
750	0.2358928465
751	0.2356109619
752	0.2352320214
753	0.2349113923
754	0.2345404286
755	0.2340489233
756	0.2336579203
757	0.2334287883
758	0.2330260008
759	0.2325970731
760	0.2322534169
761	0.2318849824
762	0.2314810275
763	0.2311727944
764	0.230813657
765	0.2305165553
766	0.2301422842
767	0.2297800339
768	0.2294466474
769	0.2290700694
770	0.2286704642
771	0.2283336313
772	0.2280787067
773	0.2277757544
774	0.2274530685
775	0.2270152886
776	0.2266971192
777	0.2263565897
778	0.2259605283
779	0.2256397185
780	0.2251275068
781	0.2247171871
782	0.2242496122
783	0.2238835958
784	0.2234372693
785	0.2231894738
786	0.2228641892
787	0.2225557477
788	0.2222532123
789	0.2220136021
790	0.2216772833
791	0.2213714822
792	0.2210175839
793	0.2207159518
794	0.2202894423
795	0.2200039445
796	0.2196051453
797	0.2191677684
798	0.2188538654
799	0.2184839023
800	0.2181449987
801	0.2178528582
802	0.2176374147
803	0.2173450519
804	0.2170645014
805	0.2168213891
806	0.2164957293
807	0.2162356073
808	0.2158964397
809	0.2155668332
810	0.2152463152
811	0.2149609564
812	0.2146258467
813	0.21431136
814	0.2139670784
815	0.2136877647
816	0.2133070871
817	0.2130191157
818	0.2126775856
819	0.2124415608
820	0.2121241001
821	0.2117643235
822	0.2114021009
823	0.211032791
824	0.2107023507
825	0.2103473267
826	0.209913424
827	0.2096458671
828	0.2092752926
829	0.2089843472
830	0.2086442207
831	0.208330276
832	0.2080308813
833	0.2077095435
834	0.2074361777
835	0.2071569057
836	0.2069575826
837	0.2066670958
838	0.2063866148
839	0.2060809248
840	0.2056469249
841	0.2053847183
842	0.2051165082
843	0.2047878606
844	0.2045596041
845	0.2043217449
846	0.2040277978
847	0.2036817929
848	0.203371114
849	0.203144942
850	0.2028353332
851	0.2025633293
852	0.2022153788
853	0.2019682226
854	0.2017053489
855	0.2014437677
856	0.2010652302
857	0.2007053285
858	0.2003896189
859	0.2001176567
860	0.1999329114
861	0.1995790687
862	0.1992529503
863	0.1989865468
864	0.1986293688
865	0.1983547523
866	0.1980404046
867	0.1976807113
868	0.1973439618
869	0.1970319209
870	0.1967731191
871	0.1964510864
872	0.1960647111
873	0.1958257679
874	0.1955266372
875	0.1953291485
876	0.1950491817
877	0.1948025396
878	0.1945751586
879	0.1942605746
880	0.1939766194
881	0.1936676915
882	0.1933334712
883	0.1931449181
884	0.1928909941
885	0.192552577
886	0.1922556281
887	0.1919301351
888	0.1915960677
889	0.1913189914
890	0.1910321178
891	0.1907167278
892	0.1904241287
893	0.1901855469
894	0.1899108609
895	0.1896675958
896	0.1894030823
897	0.1891628328
898	0.1888307109
899	0.1885431425
900	0.1882732787
901	0.1879389473
902	0.1877004488
903	0.1874502769
904	0.1870837186
905	0.1868644395
906	0.1865510367
907	0.1862748777
908	0.1860520688
909	0.1857819271
910	0.1854589077
911	0.1852232858
912	0.1849158032
913	0.1846805982
914	0.1844171965
915	0.18412425
916	0.1839173809
917	0.1836471419
918	0.1834314065
919	0.1832003845
920	0.1829260321
921	0.1827041821
922	0.1824209912
923	0.1821653161
924	0.1818737037
925	0.1816605254
926	0.1814139667
927	0.181047311
928	0.1807478608
929	0.1805704808
930	0.1803529388
931	0.1800163283
932	0.1797359168
933	0.1793884389
934	0.179084347
935	0.1788439586
936	0.1786269864
937	0.1783869731
938	0.1781320485
939	0.1779185366
940	0.1776349566
941	0.1773944709
942	0.177154402
943	0.1768974763
944	0.1766099218
945	0.1763997868
946	0.1762190855
947	0.175950806
948	0.1756995224
949	0.1755091071
950	0.1753538093
951	0.175071494
952	0.17483697
953	0.17453317
954	0.1743000774
955	0.1739936231
956	0.1737462028
957	0.1734953222
958	0.1732779192
959	0.1730585428
960	0.1728526326
961	0.1725485824
962	0.1723412686
963	0.1720849682
964	0.1718363944
965	0.1715823592
966	0.1713385521
967	0.1710472037
968	0.1708367909
969	0.1705440528
970	0.1703234952
971	0.170116765
972	0.1698360478
973	0.1696372527
974	0.1693977954
975	0.169223973
976	0.1689880593
977	0.1687564398
978	0.1684621453
979	0.1681762028
980	0.1678716941
981	0.1676626848
982	0.1674333861
983	0.1671756543
984	0.1669382398
985	0.1667609988
986	0.1665529345
987	0.166275219
988	0.1660385827
989	0.1658327141
990	0.1656341136
991	0.1653952816
992	0.1651651907
993	0.1648481609
994	0.1646920432
995	0.1644381608
996	0.1641963827
997	0.1639127888
998	0.163709769
999	0.1634997731
