;method;N;Appropriate (whole);Too bad (whole);Too good (whole);Appropriate (by sent);Too bad (by sent);Too good (by sent);Appropriate (raw mean by sent);Too bad (raw mean by sent);Too good (raw mean by sent):;N distractors
59;CatBoostFeatDrop_out;14;0.3483009708737864;0.5339805825242718;0.11771844660194175;0.38507026599131866;0.5074369344106187;0.10749279959806274;3.776315789473684;5.7894736842105265;1.2763157894736843;10.842105263157896
60;Baseline (no clf);15;0.30701754385964913;0.5877192982456141;0.10526315789473684;0.30701754385964913;0.5877192982456141;0.10526315789473684;4.605263157894737;8.81578947368421;1.5789473684210527;15.0
61;XGBAllFeats_out;15;0.33584905660377357;0.549685534591195;0.11446540880503145;0.3827458360353097;0.5150653805259067;0.10218878343878343;3.513157894736842;5.75;1.1973684210526316;10.460526315789474
62;RandomForestFreqsOnly_out;15;0.3266509433962264;0.5648584905660378;0.10849056603773585;0.32192588113640747;0.575982606574712;0.10209151228888069;3.6447368421052633;6.302631578947368;1.2105263157894737;11.157894736842104
63;CatBoostVecsOnly_out;15;0.3184713375796178;0.5630573248407643;0.11847133757961784;0.3729184192999982;0.5282786292654713;0.09880295143453037;3.289473684210526;5.815789473684211;1.2236842105263157;10.328947368421053
64;CatBoostFeatDrop_out;15;0.33825198637911463;0.5459704880817253;0.11577752553916004;0.3781942472731947;0.5173603808472228;0.1044453718795824;3.9210526315789473;6.328947368421052;1.3421052631578947;11.592105263157896
65;Baseline (no clf);16;0.3059210526315789;0.5888157894736842;0.10526315789473684;0.3059210526315789;0.5888157894736842;0.10526315789473684;4.894736842105263;9.421052631578947;1.6842105263157894;16.0
66;XGBAllFeats_out;16;0.3333333333333333;0.5535924617196702;0.11307420494699646;0.37942130968446763;0.5194001539396275;0.10117853637590478;3.723684210526316;6.184210526315789;1.263157894736842;11.171052631578947
67;RandomForestFreqsOnly_out;16;0.32700892857142855;0.5680803571428571;0.10491071428571429;0.32351856841988424;0.577105588125325;0.09937584345479081;3.8552631578947367;6.697368421052632;1.236842105263158;11.789473684210526
68;CatBoostVecsOnly_out;16;0.31747919143876335;0.5636147443519619;0.11890606420927467;0.36812739526555316;0.5282619975054185;0.10361060722902826;3.513157894736842;6.2368421052631575;1.3157894736842106;11.06578947368421
69;CatBoostFeatDrop_out;16;0.3365180467091295;0.5477707006369427;0.11571125265392782;0.3750663627308364;0.5181982491193017;0.10673538814986185;4.171052631578948;6.7894736842105265;1.4342105263157894;12.394736842105264
70;Baseline (no clf);17;0.29876160990712075;0.5975232198142415;0.10371517027863777;0.2987616099071207;0.5975232198142414;0.10371517027863776;5.078947368421052;10.157894736842104;1.763157894736842;17.0
71;XGBAllFeats_out;17;0.3263041065482797;0.5615982241953386;0.1120976692563818;0.37355874045115534;0.5248974279934032;0.10154383155544144;3.8684210526315788;6.657894736842105;1.3289473684210527;11.855263157894736
72;RandomForestFreqsOnly_out;17;0.3220696937697994;0.573389651531151;0.10454065469904963;0.3197044903411003;0.5816062764205179;0.09868923323838186;4.0131578947368425;7.144736842105263;1.3026315789473684;12.460526315789474
73;CatBoostVecsOnly_out;17;0.3088888888888889;0.5755555555555556;0.11555555555555555;0.3530351313633047;0.5460828892040193;0.10088197943267603;3.6578947368421053;6.815789473684211;1.368421052631579;11.842105263157896
74;CatBoostFeatDrop_out;17;0.32602193419740777;0.5603190428713859;0.11365902293120637;0.36132295636939604;0.5341751009997914;0.1045019426308126;4.302631578947368;7.394736842105263;1.5;13.197368421052632
75;Baseline (no clf);18;0.28728070175438597;0.6111111111111112;0.10160818713450293;0.28728070175438597;0.611111111111111;0.10160818713450293;5.171052631578948;11.0;1.8289473684210527;18.0
76;XGBAllFeats_out;18;0.31230283911671924;0.5772870662460567;0.11041009463722397;0.35760326060248665;0.5426715570291423;0.0997251823683712;3.9078947368421053;7.223684210526316;1.381578947368421;12.513157894736842
77;RandomForestFreqsOnly_out;18;0.3119358074222668;0.5857572718154463;0.10230692076228685;0.3121482061110545;0.591362325969524;0.09648946791942148;4.092105263157895;7.684210526315789;1.3421052631578947;13.118421052631579
78;CatBoostVecsOnly_out;18;0.2928870292887029;0.5941422594142259;0.11297071129707113;0.33585620713136194;0.5662336330679985;0.09791015980063966;3.6842105263157894;7.473684210526316;1.4210526315789473;12.578947368421053
79;CatBoostFeatDrop_out;18;0.3101503759398496;0.5780075187969925;0.1118421052631579;0.34585212474144367;0.5518840829792842;0.10226379227927214;4.342105263157895;8.092105263157896;1.5657894736842106;14.0
80;Baseline (no clf);19;0.27977839335180055;0.621191135734072;0.09903047091412742;0.27977839335180055;0.6211911357340719;0.09903047091412742;5.315789473684211;11.802631578947368;1.881578947368421;19.0
81;XGBAllFeats_out;19;0.3033932135728543;0.5888223552894212;0.10778443113772455;0.3496531950795027;0.5540677680230801;0.09627903689741722;4.0;7.7631578947368425;1.4210526315789473;13.18421052631579
82;RandomForestFreqsOnly_out;19;0.3008595988538682;0.5998089780324737;0.09933142311365807;0.30295151043939134;0.6029968888791399;0.0940516006814687;4.144736842105263;8.263157894736842;1.368421052631579;13.776315789473685
83;CatBoostVecsOnly_out;19;0.28414755732801594;0.6051844466600199;0.1106679960119641;0.32965468619697075;0.5748165851244513;0.09552872867857795;3.75;7.9868421052631575;1.4605263157894737;13.197368421052632
84;CatBoostFeatDrop_out;19;0.3010752688172043;0.589605734767025;0.10931899641577061;0.3397202200556853;0.5601703690051009;0.10010941093921379;4.421052631578948;8.657894736842104;1.605263157894737;14.68421052631579
85;Baseline (no clf);20;0.2710526315789474;0.6328947368421053;0.09605263157894736;0.2710526315789474;0.6328947368421054;0.09605263157894736;5.421052631578948;12.657894736842104;1.9210526315789473;20.0
86;XGBAllFeats_out;20;0.29333333333333333;0.6028571428571429;0.10380952380952381;0.3393491399087578;0.5674142963092165;0.09323656378202573;4.052631578947368;8.328947368421053;1.4342105263157894;13.81578947368421
87;RandomForestFreqsOnly_out;20;0.292772186642269;0.6093321134492223;0.09789569990850869;0.2966267820609315;0.6107943766149119;0.09257884132415663;4.2105263157894735;8.763157894736842;1.4078947368421053;14.381578947368421
88;CatBoostVecsOnly_out;20;0.2759276879162702;0.615604186489058;0.10846812559467174;0.32160405073218745;0.5843017844886633;0.0940941647791493;3.8157894736842106;8.513157894736842;1.5;13.828947368421053
89;CatBoostFeatDrop_out;20;0.2901023890784983;0.6032423208191127;0.10665529010238908;0.32843042863207433;0.5736954247118008;0.0978741466561248;4.473684210526316;9.302631578947368;1.644736842105263;15.421052631578947
