,index,Model,Setting,Dropped feature,K,% Appropriate,% Too bad,% Too good,Appropriate (raw mean by sent),N distractors
66,40,Baseline,,—,11,34.089999999999996,54.43,11.48,3.75,11.0
67,84,CatBoost,FeatDrop,Word2Vec vector of Ans,19,33.97,56.02,10.01,4.4211,14.6842
68,86,XGBoost,AllFeats,—,20,33.93,56.74,9.32,4.0526,13.8158
69,78,CatBoost,VecsOnly,—,18,33.589999999999996,56.620000000000005,9.790000000000001,3.6842,12.5789
70,52,Random Forest,FreqsOnly,—,13,33.58,55.87,10.56,3.3026,9.7105
71,57,Random Forest,FreqsOnly,—,14,33.15,56.49999999999999,10.35,3.4868,10.3816
72,83,CatBoost,VecsOnly,—,19,32.97,57.48,9.55,3.75,13.1974
73,45,Baseline,,—,12,32.89,55.92,11.18,3.9474,12.0
74,89,CatBoost,FeatDrop,Word2Vec vector of Ans,20,32.84,57.37,9.790000000000001,4.4737,15.4211
75,67,Random Forest,FreqsOnly,—,16,32.35,57.709999999999994,9.94,3.8553,11.7895
76,50,Baseline,,—,13,32.29,56.68,11.03,4.1974,13.0
77,62,Random Forest,FreqsOnly,—,15,32.190000000000005,57.599999999999994,10.209999999999999,3.6447,11.1579
78,88,CatBoost,VecsOnly,—,20,32.16,58.43000000000001,9.41,3.8158,13.8289
79,72,Random Forest,FreqsOnly,—,17,31.97,58.160000000000004,9.87,4.0132,12.4605
80,55,Baseline,,—,14,31.580000000000002,57.60999999999999,10.81,4.4211,14.0
81,77,Random Forest,FreqsOnly,—,18,31.209999999999997,59.14,9.65,4.0921,13.1184
82,60,Baseline,,—,15,30.7,58.77,10.530000000000001,4.6053,15.0
83,65,Baseline,,—,16,30.59,58.879999999999995,10.530000000000001,4.8947,16.0
84,82,Random Forest,FreqsOnly,—,19,30.3,60.3,9.41,4.1447,13.7763
85,70,Baseline,,—,17,29.880000000000003,59.75,10.37,5.0789,17.0
86,87,Random Forest,FreqsOnly,—,20,29.659999999999997,61.08,9.26,4.2105,14.3816
87,75,Baseline,,—,18,28.73,61.11,10.16,5.1711,18.0
88,80,Baseline,,—,19,27.98,62.12,9.9,5.3158,19.0
89,85,Baseline,,—,20,27.11,63.29,9.610000000000001,5.4211,20.0
